,CONS_TDS,Acres,PM,PM_FORMULA,APM,APM_FORMULA,SUPER,SUPER_FORMULA,ASUPER,ASUPER_FORMULA,SOG,SOG_FORMULA,HA,HA_FORMULA,SOC,SOC_FORMULA,CTG,CTJ,CJG_TOTAL,CJG_FORMULA,CTX,CTX_FORMULA,MW,MW_FORMULA,SEC,SEC_FORMULA,TOT,TOT_FORMULA
124,241,4.22,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,7,8,10,5.0,5.0,3.0,3.0,2.0,2.0,25.0,27.0
125,243,9.98,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,15,16,14,5.0,5.0,4.0,4.0,2.0,2.0,34.0,32.0
126,252,5.56,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,9,10,8,5.0,5.0,3.0,2.0,2.0,2.0,27.0,24.0
127,261,11.56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,13,14,15,5.0,5.0,4.0,4.0,2.0,2.0,34.0,35.0
128,267,14.18,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,2.0,1.0,24,25,25,5.0,5.0,7.0,8.0,2.0,2.0,51.0,52.0
129,280,22.24,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,10,12,12,5.0,5.0,4.0,4.0,2.0,2.0,30.0,30.0
130,308,5.4141133,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,11,12,11,5.0,5.0,3.0,3.0,2.0,2.0,29.0,28.0
131,337,6.51,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,11,12,8,5.0,5.0,4.0,2.0,2.0,2.0,30.0,24.0
132,342,16.17,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,15,16,14,5.0,5.0,4.0,4.0,2.0,2.0,34.0,32.0
133,351,17.82,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,14,15,13,5.0,5.0,5.0,4.0,2.0,2.0,36.0,31.0
134,377,4.63,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,8,9,10,5.0,5.0,3.0,3.0,2.0,2.0,26.0,26.0
135,505,15.84,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,22,23,22,5.0,5.0,7.0,7.0,2.0,2.0,48.0,47.0
136,514,17.09,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,23,24,24,5.0,5.0,7.0,7.0,2.0,2.0,50.0,49.0
