GEO_BORO,NYCHA_BORO,CONS_TDS,CONS_NAME,DEV_NAME,TDS,AMP,TOTAL_HH,TOTAL_POP,AVG_FAMILY_SIZE,AVG_TENURE,CURRENT_APTS,TOTAL_APTS,STAIRHALLS
Brooklyn,Brooklyn,70,Cypress Hills,EAST NEW YORK CITY LINE,263,NY005010700,65,256,3.9,23.8,66,66,33
Brooklyn,Brooklyn,29,Farragut,FARRAGUT,29,NY005000290,"1,373","3,143",2.3,26.4,1389,1390,10
Brooklyn,Brooklyn,167,Reid Apartments,FENIMORE-LEFFERTS,205,NY005011670,36,93,2.6,28.5,36,36,18
Brooklyn,NGO1,261,Unity Plaza,FIORENTINO PLAZA,207,NY005012610,154,438,2.8,20.5,158,160,10
Brooklyn,Brooklyn,252,Marcus Garvey,GARVEY (GROUP A),252,NY005012520,317,861,2.7,19.9,320,321,6
Brooklyn,NGO1,169,Seth Low Houses,GLENMORE PLAZA,171,NY005011690,425,793,1.9,22.2,439,440,4
Brooklyn,Brooklyn,44,Glenwood,GLENWOOD,44,NY005000440,"1,176","2,499",2.1,21.3,1186,1188,40
Brooklyn,Brooklyn,25,Gowanus,GOWANUS,25,NY005000250,"1,125","2,631",2.3,28.6,1137,1139,25
Brooklyn,Brooklyn,172,O'Dwyer Gardens,GRAVESEND,68,NY005011720,610,"1,421",2.3,22.3,627,634,15
Brooklyn,Brooklyn,166,Carey Gardens,HABER,142,NY005011660,378,448,1.2,15.8,380,380,3
Brooklyn,NGO1,72,Howard,HOWARD,72,NY005000720,804,"1,848",2.3,20.8,813,815,16
Brooklyn,Brooklyn,351,Park Rock Consolidation,HOWARD AVENUE,339,NY005013510,146,346,2.4,19.4,148,150,25
Brooklyn,Brooklyn,351,Park Rock Consolidation,HOWARD AVENUE-PARK PLACE,365,NY005013510,154,429,2.8,20.2,155,156,159
Brooklyn,NGO1,168,Langston Hughes Apts,HUGHES APARTMENTS,168,NY005011680,505,"1,325",2.6,20.8,509,513,4
Brooklyn,Mixed Finance,86,Bushwick,HYLAN,109,NY005010860,204,430,2.1,26.1,209,209,1
Brooklyn,Brooklyn,14,Ingersoll,INGERSOLL,14,NY005000140,"1,688","4,129",2.4,21.6,1830,1840,46
Brooklyn,Brooklyn,10,Kingsborough,KINGSBOROUGH,10,NY005010100,"1,129","2,405",2.1,18.8,1154,1165,35
Brooklyn,Brooklyn,10,Kingsborough,KINGSBOROUGH EXTENSION,161,NY005010100,177,202,1.1,15.8,182,184,1
Brooklyn,Brooklyn,122,Lafayette Gardens,LAFAYETTE,122,NY005001220,875,"2,392",2.7,24.8,882,882,7
Brooklyn,Brooklyn,167,Reid Apartments,LENOX ROAD-ROCKAWAY PARKWAY,348,NY005011670,70,151,2.2,19.8,74,74,3
Brooklyn,Mixed Finance,95,Linden,LINDEN,95,NY005020950,"1,509","3,462",2.3,21.7,1586,1586,21
Brooklyn,NGO1,261,Unity Plaza,LONG ISLAND BAPTIST HOUSES,276,NY005012610,223,522,2.3,18.1,229,232,4
Brooklyn,NGO1,169,Seth Low Houses,LOW HOUSES,169,NY005011690,527,"1,353",2.6,20.8,534,536,4
Brooklyn,Brooklyn,21,Marcy,MARCY,21,NY005000210,"1,692","4,113",2.4,25.1,1716,1717,71
Brooklyn,Mixed Finance,83,Marlboro,MARLBORO,83,NY005020830,"1,743","4,054",2.3,21.7,1764,1765,30
Brooklyn,Brooklyn,36,Sheepshead Bay,NOSTRAND,43,NY005010360,"1,121","2,285",2,21.2,1146,1148,33
Brooklyn,Brooklyn,162,Ocean Hill,OCEAN HILL APARTMENTS,162,NY005011620,234,636,2.7,20.8,238,238,4
Brooklyn,Brooklyn,351,Park Rock Consolidation,OCEAN HILL-BROWNSVILLE,313,NY005013510,120,291,2.4,15.4,125,125,5
Brooklyn,Brooklyn,172,O'Dwyer Gardens,O'DWYER GARDENS,172,NY005011720,554,935,1.7,24,570,573,7
Brooklyn,Brooklyn,351,Park Rock Consolidation,PARK ROCK REHAB,351,NY005013510,129,297,2.3,18.5,134,134,9
Brooklyn,Brooklyn,194,Penn-Wortman,PENNSYLVANIA AVENUE-WORTMAN AVENUE,194,NY005011940,334,627,1.9,19.9,336,336,3
Brooklyn,Brooklyn,89,Pink,PINK,89,NY005000890,"1,486","3,600",2.4,21.3,1500,1500,25
Brooklyn,Brooklyn,167,Reid Apartments,RALPH AVENUE REHAB,352,NY005011670,114,268,2.4,17.8,118,118,5
Brooklyn,Brooklyn,4,Red Hook East,RED HOOK EAST,4,NY005000040,"1,381","2,812",2,22.7,1404,1411,51
Brooklyn,Brooklyn,79,Red Hook West,RED HOOK WEST,79,NY005000790,"1,429","3,100",2.2,22.9,1471,1480,50
Brooklyn,Brooklyn,167,Reid Apartments,REID APARTMENTS,167,NY005011670,218,233,1.1,12.5,227,230,1
Brooklyn,Brooklyn,135,Roosevelt,ROOSEVELT I,135,NY005011350,756,"1,790",2.4,22.1,761,763,6
Brooklyn,Brooklyn,135,Roosevelt,ROOSEVELT II,177,NY005011350,341,716,2.1,24.5,342,342,3
Brooklyn,Brooklyn,167,Reid Apartments,RUTLAND TOWERS,282,NY005011670,59,98,1.7,22.6,60,61,1
Brooklyn,Brooklyn,162,Ocean Hill,SARATOGA VILLAGE,158,NY005011620,125,297,2.4,20.7,125,125,1
Brooklyn,Brooklyn,36,Sheepshead Bay,SHEEPSHEAD BAY,36,NY005010360,"1,039","2,348",2.3,21.4,1054,1056,36
Brooklyn,Brooklyn,351,Park Rock Consolidation,STERLING PLACE REHABS (SAINT JOHNS-STERLING),366,NY005013510,82,268,3.3,20.1,83,83,5
Brooklyn,Brooklyn,351,Park Rock Consolidation,STERLING PLACE REHABS (STERLING-BUFFALO),368,NY005013510,125,329,2.6,17.5,125,125,7
Brooklyn,Brooklyn,221,Stuyvesant Gardens,STUYVESANT GARDENS I,221,NY005012210,326,817,2.5,25.1,329,331,25
Brooklyn,Brooklyn,221,Stuyvesant Gardens,STUYVESANT GARDENS II,333,NY005012210,149,168,1.1,15.5,150,150,1
Brooklyn,Brooklyn,73,Sumner,SUMNER,73,NY005010730,"1,084","2,262",2.1,26.9,1098,1099,24
Brooklyn,Brooklyn,170,Surfside Gardens,SURFSIDE GARDENS,170,NY005011700,578,"1,132",2,19.4,594,600,5
Brooklyn,Brooklyn,167,Reid Apartments,SUTTER AVENUE-UNION STREET,369,NY005011670,97,249,2.6,17.1,100,100,3
Brooklyn,Brooklyn,167,Reid Apartments,TAPSCOTT STREET REHAB,354,NY005011670,146,327,2.2,18.4,155,155,8
Brooklyn,Mixed Finance,234,Taylor St - Wythe Ave,TAYLOR STREET-WYTHE AVENUE,234,NY005012340,523,"1,211",2.3,31.3,525,525,6
Brooklyn,NGO1,96,Tilden,TILDEN,96,NY005000720,992,"2,557",2.6,21.8,998,998,9
Brooklyn,Brooklyn,131,Tompkins,TOMPKINS,131,NY005011310,"1,028","2,744",2.7,23.3,1045,1046,13
Brooklyn,NGO1,261,Unity Plaza,"UNITY PLAZA (SITES 17,24,25A)",240,NY005012610,166,463,2.8,17.2,167,167,3
Brooklyn,NGO1,261,Unity Plaza,UNITY PLAZA (SITES 4-27),261,NY005012610,456,"1,123",2.5,20.9,460,462,13
Brooklyn,NGO1,61,Van Dyke I,VAN DYKE I,61,NY005000610,"1,575","3,780",2.4,21.3,1603,1603,32
Brooklyn,NGO1,182,Woodson,VAN DYKE II,146,NY005011680,111,129,1.2,15.3,111,112,1
Brooklyn,Brooklyn,194,Penn-Wortman,VANDALIA AVENUE,315,NY005011940,287,329,1.1,22.1,288,293,3
Brooklyn,Brooklyn,514,Whitman,WHITMAN,514,NY005005140,"1,619","3,749",2.3,22,1651,1659,48
Brooklyn,Brooklyn,2,Williamsburg,WILLIAMSBURG,2,NY005000020,"1,547","2,895",1.9,26.2,1627,1630,137
Brooklyn,NGO1,182,Woodson,WOODSON,182,NY005011680,403,451,1.1,12.1,407,407,2
Brooklyn,Brooklyn,163,Wyckoff Gardens,WYCKOFF GARDENS,163,NY005011630,517,"1,118",2.2,27.1,528,529,3
Manhattan,Mixed Finance,22,Amsterdam,AMSTERDAM,22,NY005010220,"1,061","2,194",2.1,32.4,1084,1084,24
Manhattan,Mixed Finance,22,Amsterdam,AMSTERDAM ADDITION,187,NY005021870,172,345,2,26.3,175,175,1
Manhattan,Mixed Finance,22,Amsterdam,HARBORVIEW TERRACE,262,NY005010220,370,649,1.8,24.1,377,377,2
Manhattan,Manhattan,60,Baruch,BARUCH,60,NY005010600,"2,154","4,724",2.2,30.4,2193,2194,35
Manhattan,Manhattan,60,Baruch,BARUCH HOUSES ADDITION,198,NY005010600,192,241,1.3,21.5,197,197,1
Manhattan,Manhattan,58,Carver,CARVER,58,NY005000580,"1,241","2,606",2.1,27.3,1244,1246,13
Manhattan,Mixed Finance,134,Chelsea,CHELSEA,134,NY005021340,414,902,2.2,24.9,425,425,4
Manhattan,Mixed Finance,134,Chelsea,CHELSEA ADDITION,176,NY005011340,93,113,1.2,20,96,96,1
Manhattan,Mixed Finance,134,Chelsea,ELLIOTT,15,NY005011340,584,"1,356",2.3,27.7,606,608,8
Manhattan,Manhattan,123,Clinton,CLINTON,123,NY005001230,733,"1,695",2.3,25.8,748,749,8
Manhattan,Manhattan,82,Douglass,830 AMSTERDAM AVENUE,150,NY005010820,156,346,2.2,27.2,158,159,1
Manhattan,Manhattan,82,Douglass,DOUGLASS ADDITION,148,NY005010820,133,335,2.5,27.7,135,135,1
Manhattan,Manhattan,82,Douglass,DOUGLASS I,82,NY005010820,"1,297","2,630",2,27.2,1302,1305,11
Manhattan,Manhattan,82,Douglass,DOUGLASS II,582,NY005010820,746,"1,583",2.1,28.1,752,753,6
Manhattan,Mixed Finance,111,Drew Hamilton,DREW-HAMILTON,111,NY005021110,"1,175","2,703",2.3,21.8,1211,1217,5
Manhattan,Mixed Finance,111,Drew Hamilton,PUBLIC SCHOOL 139 (CONVERSION),340,NY005011110,121,137,1.1,13.7,125,125,2
Manhattan,Manhattan,41,Dyckman,DYCKMAN,41,NY005000410,"1,157","2,245",1.9,26.2,1167,1167,8
Manhattan,NGO1,9,East River,EAST RIVER,9,NY005010090,"1,106","2,247",2,23,1156,1170,30
Manhattan,Manhattan,309,Fort Washington Ave Rehab,FORT WASHINGTON AVENUE REHAB,309,NY005013090,226,275,1.2,14.8,226,226,2
Manhattan,Manhattan,309,Fort Washington Ave Rehab,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),293,NY005013090,213,405,1.9,21.9,215,216,6
Manhattan,Manhattan,309,Fort Washington Ave Rehab,WASHINGTON HEIGHTS REHAB PHASE III (FORT WASHINGTON),523,NY005013090,87,176,2,24,88,88,7
Manhattan,Manhattan,309,Fort Washington Ave Rehab,WASHINGTON HEIGHTS REHAB PHASE IV (C),330,NY005013090,32,67,2.1,18.7,32,32,2
Manhattan,Manhattan,309,Fort Washington Ave Rehab,WASHINGTON HEIGHTS REHAB PHASE IV (D),331,NY005013090,31,60,1.9,22.3,32,32,2
Manhattan,Mixed Finance,377,Frederick Samuel Apartments,SAMUEL (CITY),377,NY005023770,648,"1,379",2.1,17.5,664,664,43
Manhattan,Manhattan,136,Fulton,FULTON,136,NY005001360,939,"2,107",2.2,26.9,944,944,12
Manhattan,Manhattan,100,Gompers,45 ALLEN STREET,265,NY005011000,103,230,2.2,32.6,107,107,2
Manhattan,Manhattan,100,Gompers,GOMPERS,100,NY005011000,470,"1,058",2.3,26.9,472,474,5
Manhattan,Manhattan,100,Gompers,HERNANDEZ,184,NY005011000,149,259,1.7,27.8,149,149,1
Manhattan,Manhattan,100,Gompers,LOWER EAST SIDE I INFILL,326,NY005011000,189,362,1.9,24.5,189,189,15
Manhattan,Manhattan,100,Gompers,MELTZER TOWER,183,NY005011000,227,251,1.1,14.9,229,231,1
Manhattan,Manhattan,100,Gompers,SEWARD PARK EXTENSION,192,NY005011000,354,796,2.2,24.7,360,360,5
Manhattan,Manhattan,87,Grant,GRANT,87,NY005000870,"1,918","4,292",2.2,27.9,1939,1940,10
Manhattan,Manhattan,3,Harlem River,AUDUBON,125,NY005010030,166,460,2.8,24.8,167,168,1
Manhattan,Manhattan,3,Harlem River,BETHUNE GARDENS,160,NY005010030,206,250,1.2,13.5,210,210,1
Manhattan,Manhattan,3,Harlem River,HARLEM RIVER,3,NY005010030,564,"1,077",1.9,19.3,574,577,47
Manhattan,Manhattan,3,Harlem River,HARLEM RIVER II,147,NY005010030,116,285,2.5,23.4,116,116,1
Manhattan,Manhattan,3,Harlem River,MARSHALL PLAZA,344,NY005010030,175,211,1.2,14.1,180,180,1
Manhattan,Manhattan,3,Harlem River,WASHINGTON HEIGHTS REHAB PHASE III (HARLEM RIVER),329,NY005010030,14,30,2.1,21.6,14,14,1
Manhattan,Manhattan,139,Isaacs,HOLMES TOWERS,159,NY005011390,533,942,1.8,23.4,536,537,2
Manhattan,Manhattan,139,Isaacs,ISAACS,139,NY005011390,633,"1,228",1.9,24.9,634,636,4
Manhattan,Manhattan,139,Isaacs,ROBBINS PLAZA,218,NY005011390,150,163,1.1,16.7,150,150,1
Manhattan,Manhattan,241,Jackie Robinson,MORRIS PARK SENIOR CITIZENS HOME,277,NY005012410,95,104,1.1,12.6,97,97,1
Manhattan,Manhattan,241,Jackie Robinson,"PARK AVENUE-EAST 122ND, 123RD STREETS",204,NY005012410,88,209,2.4,23.5,90,90,2
Manhattan,Manhattan,241,Jackie Robinson,ROBINSON,241,NY005012410,186,415,2.2,24,188,189,2
Manhattan,Manhattan,241,Jackie Robinson,UPACA (SITE 5),343,NY005012410,176,206,1.2,13.6,179,200,1
Manhattan,Manhattan,241,Jackie Robinson,UPACA (SITE 6),355,NY005012410,147,178,1.2,13.6,150,150,1
Manhattan,NGO1,64,Jefferson,335 EAST 111TH STREET,203,NY005010640,64,108,1.7,22.6,66,66,1
Manhattan,NGO1,64,Jefferson,CORSI HOUSES,199,NY005010640,164,186,1.1,11.6,171,171,1
Manhattan,NGO1,64,Jefferson,JEFFERSON,64,NY005010640,"1,451","3,182",2.2,28,1486,1493,35
Manhattan,Manhattan,17,Johnson,JOHNSON,17,NY005000170,"1,283","3,076",2.4,26.4,1296,1310,17
Manhattan,Manhattan,30,King Towers,GRAMPION,281,NY005010300,32,68,2.1,22.8,35,35,1
