MAKE,MODL,YEAR,DESCRIPTION,SERIAL #,PO #, COST ,DATE,LOCATION,Tag # 
JDEERE,X710,2013,Tractor,1M0X710AJDM010201,1305050,"$16,450.99 ",4/19/13,GOMPERS,AU-020624
JDEERE,X710,2013,Tractor,1M0X710AJDM010204,1305050,"$16,450.99 ",4/19/13,LINCOLN,AU-020625
JOHN DEERE,X710,2015,TRACTOR,1M0X710AJFM031178,1526415,"$19,871.69 ",11/6/15,WILLIAMSBURG,MA-489305
JOHN DEERE,X710,2015,TRACTOR,1M0X710AJFM031181,1526415,"$19,871.69 ",11/27/15,WEBSTER,MA-489317
JDEERE,X710,2013,Tractor,1M0X710AKDM010200,1305050,"$16,450.99 ",4/19/13,BEACH 41ST STREET,AU-020626
JOHN DEERE,X710,2014,TRACTOR,1M0X710AKEM020114,1409370,"$18,258.44 ",5/12/14,BAISLEY PARK,EQ-022331
JOHN DEERE,X710,2014,TRACTOR,1M0X710AKEM020131,1409370,"$18,258.44 ",5/12/14,SOUTH JAMAICA,EQ-022327
JOHN DEERE,X710,2015,TRACTOR,1M0X710AKFM031163,1526415,"$19,871.69 ",10/28/15,PENN WORTMAN,EQ-022957
JOHN DEERE,X710,2015,TRACTOR,1M0X710AKFM031177,1526415,"$19,871.69 ",11/6/15,MONROE,MA-489310
JOHN DEERE,X710,2015,TRACTOR,1M0X710AKFM031180,1526415,"$19,871.69 ",11/6/15,MARCUS GARVEY,MA-489303
JOHN DEERE,X710,2014,TRACTOR,1M0X710ALEM020105,1409370,"$18,258.44 ",5/12/14,loaner,EQ-022329
JOHN DEERE,X710,2014,TRACTOR,1M0X710ALEM020122,1409370,"$18,258.44 ",5/5/14,SURFSIDE,EQ-022323
JOHN DEERE,X710,2015,TRACTOR,1M0X710ALFM031154,1526415,"$19,871.69 ",10/28/15,LAFAYETTE,EQ-022955
JOHN DEERE,X710,2015,TRACTOR,1M0X710ALFM031158,1526415,"$19,871.69 ",11/6/15,LEHMAN VILLAGE,MA-489307
JOHN DEERE,X710,2015,TRACTOR,1M0X710ALFM031168,1526415,"$19,871.69 ",10/28/15,ASTORIA,EQ-022966
JOHN DEERE,X710,2015,TRACTOR,1M0X710ALFM031171,1526415,"$19,871.69 ",10/28/15,BARUCH,EQ-022970
