,CONS,ROLE,ACTUAL,BUDGETED,CONS_TDS,CONS_NAME,TITLE_NAME,CODE_KEY,CODE_NAME
171,Bronx Borough Office,HSNG EXTR AL2&3,0,1,,NO NAME FOUND,,,
172,Bronx Borough Office,MASONS HELPER,5,7,,NO NAME FOUND,,,
173,Bronx Borough Office,PAINTER,12,0,,NO NAME FOUND,,,
174,Bronx Borough Office,PLASTERER,39,35,,NO NAME FOUND,,,
175,Bronx Borough Office,PLUMBER,13,12,,NO NAME FOUND,,,
176,Bronx Borough Office,PLUMBERS HELPER,9,10,,NO NAME FOUND,,,
177,Bronx Borough Office,PRIN ADM ASO,2,1,,NO NAME FOUND,,,
178,Bronx Borough Office,RES BLDG SUPT,2,3,,NO NAME FOUND,RES BLDG SUPT,5.0,SUPER
179,Bronx Borough Office,ROOFER,3,3,,NO NAME FOUND,,,
180,Bronx Borough Office,SECY,6,7,,NO NAME FOUND,SECY,3.0,SEC
181,Bronx Borough Office,SUPV BRICKLAYER,2,2,,NO NAME FOUND,,,
182,Bronx Borough Office,SUPV CARPENTER,2,2,,NO NAME FOUND,,,
183,Bronx Borough Office,SUPV ELECTRCN,1,1,,NO NAME FOUND,,,
184,Bronx Borough Office,SUPV GLAZIER,1,1,,NO NAME FOUND,,,
185,Bronx Borough Office,SUPV PAINTER,6,0,,NO NAME FOUND,,,
186,Bronx Borough Office,SUPV PLASTERER,4,4,,NO NAME FOUND,,,
187,Bronx Borough Office,SUPV PLUMBER,2,2,,NO NAME FOUND,,,
188,Bronx Borough Office,SUPV ROOFER,1,1,,NO NAME FOUND,,,
189,Bronx River Consolidated,AST HSG MGR,1,1,032,BRONX RIVER CONSOLIDATED,AST HSG MGR,2.0,APM
190,Bronx River Consolidated,AST RES BLDG SP,2,2,032,BRONX RIVER CONSOLIDATED,AST RES BLDG SP,6.0,ASUPER
191,Bronx River Consolidated,CARETAKER HA,20,19,032,BRONX RIVER CONSOLIDATED,CARETAKER HA,10.0,CTJ
192,Bronx River Consolidated,CARETAKER HA_G,2,2,032,BRONX RIVER CONSOLIDATED,CARETAKER HA_G,13.0,CTG
193,Bronx River Consolidated,CARETAKER HA_X,4,5,032,BRONX RIVER CONSOLIDATED,CARETAKER HA_X,12.0,CTX
194,Bronx River Consolidated,CHIEF CARETAKER,2,2,032,BRONX RIVER CONSOLIDATED,CHIEF CARETAKER,12.0,CTX
195,Bronx River Consolidated,HSG AST,4,4,032,BRONX RIVER CONSOLIDATED,HSG AST,4.0,HA
196,Bronx River Consolidated,HSG MGR,1,1,032,BRONX RIVER CONSOLIDATED,HSG MGR,1.0,PM
197,Bronx River Consolidated,MAINT WORKER,6,6,032,BRONX RIVER CONSOLIDATED,MAINT WORKER,9.0,MW
198,Bronx River Consolidated,RES BLDG SUPT,1,1,032,BRONX RIVER CONSOLIDATED,RES BLDG SUPT,5.0,SUPER
199,Bronx River Consolidated,SECY,2,2,032,BRONX RIVER CONSOLIDATED,SECY,3.0,SEC
200,Bronx River Consolidated,SUPV HSG CRTKR,2,2,032,BRONX RIVER CONSOLIDATED,SUPV HSG CRTKR,7.0,SOC
201,Bronx River Consolidated,SUPV HSG GDKPR,1,1,032,BRONX RIVER CONSOLIDATED,SUPV HSG GDKPR,8.0,SOG
202,Brooklyn Borough Office,ADM HSG MGR,2,2,,NO NAME FOUND,,,
203,Brooklyn Borough Office,ADM HSG SUPT,6,7,,NO NAME FOUND,,,
204,Brooklyn Borough Office,ADM MANAGER-NM,0,1,,NO NAME FOUND,,,
205,Brooklyn Borough Office,ADM MGR-NM,1,0,,NO NAME FOUND,ADM MGR-NM,1.0,PM
206,Brooklyn Borough Office,BRICKLAYER,15,14,,NO NAME FOUND,,,
207,Brooklyn Borough Office,CARETAKER HA,78,49,,NO NAME FOUND,CARETAKER HA,10.0,CTJ
