ASSETNUM,LOCATION,DESCRIPTION,INSTALLDATE,SITEID,STATE,ZZTYPE
74460062,234.GND01,EXTERIOR COMPACTOR,24-Dec-99,BK,OPERATING,COMPACTOR
74460063,234.GND01,EXTERIOR COMPACTOR,24-Dec-99,BK,OPERATING,COMPACTOR
74459860,237.GND01,EXTERIOR COMPACTOR,25-Jan-05,BX,OPERATING,COMPACTOR
74459809,243.GND01,EXTERIOR COMPACTOR,27-Jun-05,BK,OPERATING,COMPACTOR
74459808,243.GND01,EXTERIOR COMPACTOR,27-Jun-05,BK,OPERATING,COMPACTOR
74459787,256.GND01,EXTERIOR COMPACTOR,12-Feb-05,BK,OPERATING,COMPACTOR
74459895,262.GND01,EXTERIOR COMPACTOR,8-May-03,MN,OPERATING,COMPACTOR
74459830,286.GND01,EXTERIOR COMPACTOR,13-Jul-00,MN,OPERATING,COMPACTOR
74459845,307.GND01,EXTERIOR COMPACTOR,28-Feb-07,BX,OPERATING,COMPACTOR
74459846,307.GND01,EXTERIOR COMPACTOR,28-Feb-07,BX,OPERATING,COMPACTOR
74459844,334.GND01,EXTERIOR COMPACTOR,31-Aug-07,BX,OPERATING,COMPACTOR
74460076,355.GND01,EXTERIOR COMPACTOR,7-May-07,MN,OPERATING,COMPACTOR
74460077,355.GND01,EXTERIOR COMPACTOR,7-May-07,MN,OPERATING,COMPACTOR
74460000,505.GND01,EXTERIOR COMPACTOR,16-Jan-10,QS,OPERATING,COMPACTOR
74460001,505.GND01,EXTERIOR COMPACTOR,16-Jan-10,QS,OPERATING,COMPACTOR
74459999,505.GND01,EXTERIOR COMPACTOR,16-Jan-10,QS,OPERATING,COMPACTOR
74460100,514.GND01,EXTERIOR COMPACTOR,22-Jul-08,BK,OPERATING,COMPACTOR
74460101,514.GND01,EXTERIOR COMPACTOR,22-Jul-08,BK,OPERATING,COMPACTOR
74460099,514.GND01,EXTERIOR COMPACTOR,22-Jul-08,BK,OPERATING,COMPACTOR
