,DEV_NAME,MANAGED_BY,TDS,CONS_TDS,CONS_NAME
1439,MCKINLEY,FOREST,103,059,FOREST
1445,MELROSE,MELROSE,028,028,MELROSE CONSOLIDATED
1454,MELTZER TOWER,GOMPERS,183,100,GOMPERS CONSOLIDATED
1455,METRO NORTH PLAZA,WILSON,181,112,WILSON
1458,MIDDLETOWN PLAZA,EASTCHESTER GARDENS,191,034,EASTCHESTER GARDENS CONSOLIDATED
1459,MILL BROOK,MILL BROOK,084,084,MILL BROOK CONSOLIDATED
1468,MILL BROOK EXTENSION,MILL BROOK,132,084,MILL BROOK CONSOLIDATED
1469,MITCHEL,MITCHEL,145,145,MITCHEL CONSOLIDATED
1482,MONROE,MONROE,088,088,MONROE
1495,MOORE,SAINT MARY'S PARK,129,093,SAINT MARY'S PARK CONSOLIDATED
1497,MORRIS I,MORRIS,102,102,MORRIS CONSOLIDATED
1507,MORRIS II,MORRIS,502,102,MORRIS CONSOLIDATED
1515,MORRIS PARK SENIOR CITIZENS HOME,ROBINSON,277,241,JACKIE ROBINSON CONSOLIDATED
1516,MORRISANIA,WEBSTER,130,141,WEBSTER CONSOLIDATED
1518,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,267,267,MORRISANIA AIR RIGHTS CONSOLIDATED
1521,MOTT HAVEN,MOTT HAVEN,121,121,MOTT HAVEN
1532,NEW LANE AREA,SOUTH BEACH,314,035,SOUTH BEACH CONSOLIDATED
1533,NOSTRAND,SHEEPSHEAD BAY,043,036,SHEEPSHEAD BAY CONSOLIDATED
1550,O'DWYER GARDENS,O'DWYER GARDENS,172,172,O'DWYER GARDENS CONSOLIDATED
1558,OCEAN BAY APARTMENTS (OCEANSIDE),BEACH 41ST STREET-BEACH CHANNEL DRIVE,051,165,BEACH 41ST STREET-BEACH CHANNEL DRIVE
1570,OCEAN HILL-BROWNSVILLE,PARK ROCK CONSOLIDATED,313,351,PARK ROCK CONSOLIDATED
1575,OCEAN HILL APARTMENTS,OCEAN HILL APARTMENTS,162,162,OCEAN HILL CONSOLIDATED
1579,"PARK AVENUE-EAST 122ND, 123RD STREETS",ROBINSON,204,241,JACKIE ROBINSON CONSOLIDATED
1582,PARK ROCK REHAB,PARK ROCK CONSOLIDATED,351,351,PARK ROCK CONSOLIDATED
1591,PARKSIDE,PARKSIDE,047,047,PARKSIDE
1605,PATTERSON,PATTERSON,024,024,PATTERSON
1620,PELHAM PARKWAY,PELHAM PARKWAY,039,039,PELHAM PARKWAY CONSOLIDATED
1643,PENNSYLVANIA AVENUE-WORTMAN AVENUE,PENNSYLVANIA-WORTMAN,194,194,PENNSYLVANIA AVENUE-WORTMAN AVENUE CONSOLIDATED
1647,PINK,PINK,089,089,PINK
1673,POLO GROUNDS TOWERS,POLO GROUNDS TOWERS,149,149,POLO GROUNDS TOWERS
1681,POMONOK,POMONOK,053,053,POMONOK
